epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,696.345,1.29967,2.52657,1.30596,0.77,0.35077,0.50819,0.32207,1.18777,2.77925,1.27235,0.000470304,0.000470304,0.000470304
2,1442.44,1.21382,1.57362,1.22514,0.68471,0.57053,0.67784,0.40416,1.38075,2.25291,1.44869,0.000915398,0.000915398,0.000915398
3,1718.39,1.16022,1.38773,1.20517,0.66077,0.56706,0.61631,0.39188,1.31479,2.21473,1.40491,0.00132905,0.00132905,0.00132905
4,1982.65,1.15752,1.29591,1.19964,0.80382,0.58899,0.69119,0.41453,1.36206,1.89174,1.43095,0.00128753,0.00128753,0.00128753
5,2141.66,1.17015,1.20961,1.20358,0.7963,0.62487,0.72694,0.43708,1.34635,1.70402,1.41709,0.00124037,0.00124037,0.00124037
6,2304.12,1.12479,1.14795,1.18666,0.71163,0.72943,0.74071,0.4722,1.26086,1.61196,1.37421,0.00119322,0.00119322,0.00119322
7,2462.31,1.08441,1.05912,1.15867,0.6867,0.66667,0.73093,0.4818,1.28727,1.46034,1.45695,0.00114606,0.00114606,0.00114606
8,2619.39,1.10306,1.03367,1.16074,0.76175,0.68231,0.76622,0.52359,1.13154,1.37764,1.25837,0.0010989,0.0010989,0.0010989
9,2774.38,1.05549,0.96911,1.14307,0.89158,0.69925,0.80684,0.53149,1.26225,1.2669,1.31957,0.00105174,0.00105174,0.00105174
10,2929.27,1.07579,0.91653,1.13329,0.82877,0.7019,0.76751,0.47839,1.38641,1.28479,1.48065,0.00100459,0.00100459,0.00100459
11,3084.75,1.032,0.89671,1.11919,0.83381,0.67349,0.7561,0.50279,1.20195,1.25858,1.32754,0.00095743,0.00095743,0.00095743
12,3240.48,1.0081,0.84013,1.10534,0.8022,0.74585,0.78742,0.4802,1.22746,1.33762,1.33601,0.000910273,0.000910273,0.000910273
13,3398.22,1.01911,0.79405,1.10896,0.83622,0.66799,0.7752,0.51198,1.20463,1.23505,1.31652,0.000863116,0.000863116,0.000863116
14,3552.84,0.99509,0.79303,1.09356,0.94146,0.69573,0.84,0.55703,1.13008,1.13301,1.28927,0.000815959,0.000815959,0.000815959
15,3706.67,0.96652,0.76187,1.08448,0.87338,0.8425,0.8742,0.55434,1.21453,1.03904,1.3424,0.000768802,0.000768802,0.000768802
16,3860.38,0.96216,0.73894,1.09286,0.84321,0.75121,0.85979,0.56242,1.13422,1.05009,1.23797,0.000721645,0.000721645,0.000721645
17,4015.68,0.95232,0.72473,1.06975,0.91778,0.76007,0.86016,0.56769,1.12169,1.01117,1.26933,0.000674488,0.000674488,0.000674488
18,4170.69,0.96522,0.72286,1.09302,0.86451,0.79289,0.84448,0.54683,1.14685,1.01166,1.32523,0.000627331,0.000627331,0.000627331
19,4325.48,0.93815,0.6964,1.06322,0.86904,0.85138,0.85268,0.54903,1.23416,0.92098,1.36576,0.000580174,0.000580174,0.000580174
20,4479.91,0.91063,0.66861,1.05674,0.87083,0.75397,0.85875,0.55026,1.14877,1.01339,1.27298,0.000533017,0.000533017,0.000533017
21,4632.61,0.87923,0.62592,1.04357,0.88725,0.79637,0.87517,0.60328,1.08318,0.93261,1.20033,0.00048586,0.00048586,0.00048586
22,4812.29,0.86601,0.61338,1.0334,0.85969,0.82747,0.84496,0.57091,1.18453,0.95095,1.32689,0.000438703,0.000438703,0.000438703
23,5017.33,0.83456,0.5854,1.0098,0.90523,0.83068,0.87048,0.58678,1.16803,0.8961,1.30172,0.000391546,0.000391546,0.000391546
24,5205.06,0.83939,0.56895,1.00657,0.9145,0.79735,0.85444,0.5808,1.12701,0.93595,1.26857,0.000344389,0.000344389,0.000344389
25,5351.95,0.82226,0.55684,1.01006,0.92152,0.79908,0.85764,0.56773,1.17841,0.94812,1.30003,0.000297232,0.000297232,0.000297232
26,5500.33,0.81765,0.54387,1.00273,0.92184,0.84921,0.87979,0.59519,1.12888,0.85247,1.25335,0.000250075,0.000250075,0.000250075
